Topology,Routing,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars,5,uniform_random,0.250,0.122527,78623,78417,76.0196,4.5118
Sparse3D_Pillars,5,uniform_random,0.350,0.028492,18818,18235,2213.8874,4.6806
Sparse3D_Pillars,4,transpose,0.300,0.131823,84626,84367,247.7718,4.0386
Sparse3D_Pillars,4,transpose,0.450,0.156087,100283,99896,623.7778,3.5829
Sparse3D_Pillars,4,uniform_random,0.500,0.025369,16755,16236,2721.4900,4.6295
Sparse3D_Pillars,5,transpose,0.200,0.099552,63806,63713,15.4857,4.3668
Sparse3D_Pillars,5,transpose,0.350,0.117991,75941,75514,539.2762,3.9177
Sparse3D_Pillars,5,transpose,0.250,0.120202,77123,76929,105.0589,4.4744
Sparse3D_Pillars,5,transpose,0.050,0.024919,15968,15948,13.1894,4.0291
Sparse3D_Pillars,5,uniform_random,0.500,0.022514,15011,14409,2985.9866,4.8225
Cluster3D_Hub,0,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Sparse3D_Pillars,5,transpose,0.450,0.138083,88849,88373,718.2018,3.6933
Cluster3D_Hub,0,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Sparse3D_Pillars,5,transpose,0.400,0.129069,83091,82604,615.7708,3.7788
Sparse3D_Pillars,5,uniform_random,0.450,0.022573,15054,14447,2307.0040,4.8472
Sparse3D_Pillars,5,transpose,0.100,0.049847,31948,31902,13.4613,4.0838
Sparse3D_Pillars,5,transpose,0.150,0.074527,47760,47697,13.9756,4.1853
Sparse3D_Pillars,5,uniform_random,0.400,0.027584,18231,17654,2434.5031,4.6767
Cluster3D_Hub,0,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Sparse3D_Pillars,5,transpose,0.300,0.103819,66869,66444,542.6229,4.0746
Cluster3D_Hub,0,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,0,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,0,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,0,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,0,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Sparse3D_Pillars,5,transpose,0.500,0.141109,90813,90310,782.9498,3.5519
Cluster3D_Hub,0,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,0,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,0,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,0,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,0,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,0,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,0,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,3,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,0,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,3,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,3,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,0,transpose,0.400,0.158495,101853,101437,725.8628,4.1305
Cluster3D_Hub,3,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Cluster3D_Hub,3,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Cluster3D_Hub,3,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,0,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,3,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,4,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Cluster3D_Hub,3,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Cluster3D_Hub,3,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,0,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,3,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,3,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,3,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,3,transpose,0.400,0.158495,101853,101437,725.8628,4.1305
Cluster3D_Hub,3,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,4,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub,3,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Cluster3D_Hub,0,transpose,0.450,0.168244,108109,107676,853.6408,4.0144
Cluster3D_Hub,3,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,4,uniform_random,0.150,0.074453,47716,47650,14.1561,4.4010
Cluster3D_Hub,3,transpose,0.450,0.168244,108109,107676,853.6408,4.0144
Cluster3D_Hub,3,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,4,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub,4,uniform_random,0.050,0.024933,15980,15957,13.6714,4.2838
Cluster3D_Hub,4,transpose,0.100,0.049847,31948,31902,13.8206,4.3110
Cluster3D_Hub,4,uniform_random,0.450,0.042059,27554,26918,1779.4143,4.9255
Cluster3D_Hub,4,transpose,0.250,0.124336,79713,79575,22.9398,4.5757
Cluster3D_Hub,5,uniform_random,0.050,0.024933,15980,15957,13.6716,4.2840
Cluster3D_Hub,4,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub,4,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub,4,transpose,0.300,0.138545,89001,88669,267.2260,4.3739
Cluster3D_Hub,5,uniform_random,0.200,0.099561,63801,63719,14.5283,4.4842
Cluster3D_Hub,4,transpose,0.350,0.148323,95315,94927,542.9492,4.2458
Cluster3D_Hub,4,uniform_random,0.250,0.124588,79865,79736,15.0235,4.5402
Cluster3D_Hub,5,uniform_random,0.300,0.149867,96060,95915,16.3440,4.5732
Cluster3D_Hub,5,uniform_random,0.250,0.124591,79865,79738,15.0199,4.5423
Cluster3D_Hub,4,uniform_random,0.350,0.049294,32083,31548,928.1657,4.8955
Cluster3D_Hub,4,transpose,0.050,0.024919,15968,15948,13.6359,4.2700
Cluster3D_Hub,5,transpose,0.100,0.049847,31948,31902,13.8228,4.3119
Cluster3D_Hub,5,transpose,0.150,0.074523,47760,47695,14.1720,4.4064
Cluster3D_Hub,4,transpose,0.150,0.074523,47760,47695,14.1678,4.4029
Cluster3D_Hub,5,uniform_random,0.100,0.049881,31970,31924,13.9235,4.3513
Cluster3D_Hub,5,transpose,0.200,0.099556,63806,63716,14.8203,4.5376
Hier3D_Chiplet,0,uniform_random,0.050,0.024931,15980,15956,13.4840,4.1767
Cluster3D_Hub,4,transpose,0.500,0.177016,113734,113290,949.8046,3.9318
Cluster3D_Hub,5,uniform_random,0.150,0.074453,47716,47650,14.1568,4.4017
Cluster3D_Hub,4,transpose,0.200,0.099556,63806,63716,14.8269,4.5306
Cluster3D_Hub,5,transpose,0.250,0.124341,79713,79578,18.3528,4.6422
Cluster3D_Hub,5,uniform_random,0.500,0.020736,14053,13271,2409.1692,5.4260
