Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Cluster3D_Hub_Z2,uniform_random,0.180,0.089612,57428,57352,16.8232,4.5917
Cluster3D_Hub_Z2,uniform_random,0.080,0.039822,25513,25486,15.1515,4.3825
Cluster3D_Hub_Z2,uniform_random,0.040,0.019681,12618,12596,14.9459,4.3208
Cluster3D_Hub_Z2,uniform_random,0.240,0.119572,76649,76526,22.7570,4.5587
Cluster3D_Hub_Z2,uniform_random,0.120,0.059764,38312,38249,15.5267,4.4739
Cluster3D_Hub_Z1,uniform_random,0.500,0.020736,14053,13271,2409.1692,5.4260
Cluster3D_Hub_Z2,uniform_random,0.260,0.035842,23749,22939,514.6880,4.8706
Cluster3D_Hub_Z2,uniform_random,0.140,0.069472,44515,44462,15.7844,4.5236
Cluster3D_Hub_Z1,uniform_random,0.440,0.021036,14261,13463,2043.1973,5.4174
Cluster3D_Hub_Z1,uniform_random,0.360,0.032016,21276,20490,1023.0808,5.1242
Cluster3D_Hub_Z2,uniform_random,0.320,0.017048,11760,10911,1870.5659,5.4123
Cluster3D_Hub_Z4,uniform_random,0.040,0.019673,12618,12591,17.5629,4.3614
Cluster3D_Hub_Z4,uniform_random,0.020,0.009969,6387,6380,17.4981,4.3594
Cluster3D_Hub_Z2,uniform_random,0.160,0.079441,50920,50842,16.1243,4.5589
Cluster3D_Hub_Z2,uniform_random,0.420,0.014698,10215,9407,2494.1632,5.5161
Cluster3D_Hub_Z1,uniform_random,0.480,0.022062,14906,14120,2342.9237,5.3675
Cluster3D_Hub_Z2,uniform_random,0.280,0.017864,12180,11433,2225.0366,5.3548
Cluster3D_Hub_Z2,uniform_random,0.380,0.015470,10744,9901,2288.4144,5.5071
Cluster3D_Hub_Z2,uniform_random,0.200,0.099544,63801,63708,17.7096,4.5769
Cluster3D_Hub_Z4,uniform_random,0.100,0.049862,31970,31912,19.4371,4.5934
Cluster3D_Hub_Z2,uniform_random,0.300,0.017667,12075,11307,1825.6348,5.3470
Cluster3D_Hub_Z2,uniform_random,0.500,0.014872,10348,9518,2927.8708,5.5145
Cluster3D_Hub_Z1,uniform_random,0.340,0.064045,41743,40989,330.7281,4.7727
Cluster3D_Hub_Z2,uniform_random,0.440,0.015592,10727,9979,2818.1330,5.4471
Cluster3D_Hub_Z1,uniform_random,0.400,0.020913,14184,13384,2260.7921,5.4373
Cluster3D_Hub_Z2,uniform_random,0.480,0.015092,10495,9659,2735.5574,5.4891
Cluster3D_Hub_Z4,uniform_random,0.080,0.039816,25513,25482,18.3345,4.5251
Cluster3D_Hub_Z4,uniform_random,0.200,0.012337,8683,7896,1395.3034,5.3736
Cluster3D_Hub_Z4,uniform_random,0.060,0.029861,19131,19111,17.9972,4.4718
Cluster3D_Hub_Z4,uniform_random,0.220,0.011080,7888,7091,1834.0110,5.3719
Cluster3D_Hub_Z2,uniform_random,0.400,0.014863,10269,9512,2637.0722,5.4817
Cluster3D_Hub_Z2,uniform_random,0.340,0.019006,12957,12164,1665.4609,5.3010
Hier3D_Chiplet_Z1,uniform_random,0.020,0.009972,6387,6382,13.4582,4.2013
Cluster3D_Hub_Z2,uniform_random,0.360,0.015625,10758,10000,2677.8845,5.4269
Cluster3D_Hub_Z4,uniform_random,0.260,0.012239,8661,7833,1932.3341,5.2518
Hier3D_Chiplet_Z1,uniform_random,0.060,0.029870,19131,19117,13.6032,4.2218
Hier3D_Chiplet_Z1,uniform_random,0.040,0.019684,12618,12598,13.4941,4.1944
Cluster3D_Hub_Z4,uniform_random,0.160,0.018733,12789,11989,654.4968,4.9891
Hier3D_Chiplet_Z1,uniform_random,0.080,0.039820,25513,25485,13.6030,4.1988
Cluster3D_Hub_Z4,uniform_random,0.320,0.010319,7390,6604,2561.6726,5.3928
Cluster3D_Hub_Z4,uniform_random,0.300,0.012331,8631,7892,2383.3224,5.2221
