Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Cluster3D_Hub_Z4,uniform_random,0.420,0.018256,12209,11684,2659.4729,4.9167
Cluster3D_Hub_Z4,uniform_random,0.400,0.017566,11822,11242,2665.3028,4.8944
Cluster3D_Hub_Z4,uniform_random,0.080,0.039816,25513,25482,18.3358,4.5251
Hier3D_Chiplet_Z1,uniform_random,0.180,0.089631,57428,57364,13.9868,4.2202
Hier3D_Chiplet_Z1,uniform_random,0.160,0.079456,50920,50852,13.8744,4.2082
Hier3D_Chiplet_Z1,uniform_random,0.260,0.129766,83161,83050,14.5866,4.2380
Hier3D_Chiplet_Z1,uniform_random,0.200,0.099552,63801,63713,14.1114,4.2300
Cluster3D_Hub_Z4,uniform_random,0.380,0.018544,12474,11868,2723.6383,4.8991
Cluster3D_Hub_Z4,uniform_random,0.240,0.016820,11360,10765,1780.0035,4.9988
Hier3D_Chiplet_Z1,uniform_random,0.240,0.119614,76649,76553,14.3909,4.2397
Hier3D_Chiplet_Z1,uniform_random,0.040,0.019684,12618,12598,13.4944,4.1939
Hier3D_Chiplet_Z1,uniform_random,0.120,0.059767,38312,38251,13.7349,4.2047
Cluster3D_Hub_Z4,uniform_random,0.500,0.019458,13034,12453,2861.5106,4.8640
Hier3D_Chiplet_Z1,uniform_random,0.320,0.159717,102409,102219,17.6061,4.2799
Cluster3D_Hub_Z4,uniform_random,0.280,0.017797,11979,11390,2309.0683,4.9814
Hier3D_Chiplet_Z2,uniform_random,0.020,0.009970,6387,6381,14.6894,4.2009
Hier3D_Chiplet_Z1,uniform_random,0.220,0.109570,70205,70125,14.2157,4.2264
Hier3D_Chiplet_Z1,uniform_random,0.360,0.163720,105107,104781,248.8513,4.2166
Hier3D_Chiplet_Z1,uniform_random,0.340,0.163637,104983,104728,123.9017,4.2627
Hier3D_Chiplet_Z1,uniform_random,0.280,0.139687,89543,89400,14.8291,4.2466
Hier3D_Chiplet_Z2,uniform_random,0.100,0.049884,31970,31926,14.9319,4.2163
Hier3D_Chiplet_Z2,uniform_random,0.080,0.039817,25513,25483,14.8125,4.1965
Hier3D_Chiplet_Z2,uniform_random,0.060,0.029866,19131,19114,14.8284,4.2202
Hier3D_Chiplet_Z1,uniform_random,0.140,0.069480,44515,44467,13.8168,4.2137
Hier3D_Chiplet_Z1,uniform_random,0.500,0.141423,91013,90511,1601.1194,4.2116
Hier3D_Chiplet_Z1,uniform_random,0.380,0.159861,102740,102311,487.1485,4.2116
Hier3D_Chiplet_Z2,uniform_random,0.140,0.069475,44515,44464,15.1312,4.2160
Hier3D_Chiplet_Z2,uniform_random,0.180,0.089625,57428,57360,15.4956,4.2215
Hier3D_Chiplet_Z1,uniform_random,0.300,0.149881,96060,95924,15.5410,4.2755
Cluster3D_Hub_Z4,uniform_random,0.300,0.016500,11188,10560,2034.7789,4.9876
Hier3D_Chiplet_Z1,uniform_random,0.400,0.153492,98647,98235,725.2087,4.1873
Hier3D_Chiplet_Z2,uniform_random,0.040,0.019683,12618,12597,14.7133,4.1941
